timestamp,question_1,question_2,question_3,question_4,question_5,is_relevant,object,is_positive
2024-04-01 08:30:00,Основы программирования,Интерактивный подход к изучению основ C# был очень увлекательным.,Нет.,Увеличить количество практических заданий для лучшего закрепления материала.,Введение в разработку на .NET Framework.,1,0,1
2024-04-01 10:00:00,Основы программирования,Подробное объяснение логических операторов в JavaScript помогло мне лучше понять условные конструкции.,Нет.,Предоставить ещё больше практических задач после теории.,Детальное изучение асинхронного программирования в JavaScript.,1,0,1
2024-04-01 15:00:00,Основы программирования,"Введение в программирование на Python было простым и интуитивно понятным, особенно для начинающих.",Нет.,"Улучшить качество видеоматериалов, иногда было трудно разглядеть код.",Библиотеки Python для анализа данных и машинного обучения.,1,0,1
2024-04-01 17:00:00,Основы программирования,"Понятное изложение основных понятий, хорошая структура материала.","Да, циклы for и while были объяснены слишком быстро.",Добавить видеоматериалы для самостоятельного изучения.,Функциональное программирование.,1,0,1
2024-04-02 09:00:00,Основы программирования,"Кларность и структура материала по основам JavaScript, особенно затронутые темы циклов и функций.",Нет.,Ввести больше примеров на работу с массивами и объектами.,Работа с асинхронным кодом в JavaScript.,1,0,1
2024-04-02 10:00:00,Основы программирования,"Простота объяснений основ Python, особенно циклов и условий, сделала занятие очень доступным.",Нет.,Предложить больше дополнительных материалов для самостоятельного изучения после вебинара.,Подробнее о работе с API в Python.,1,0,1
2024-04-02 11:00:00,Основы программирования,"Лектор имел забавную прическу, что отвлекало, но было весело.","Да, особенно когда кот лектора прыгнул на стол.","Может, начать с курса стрижки для лекторов? И убрать котов из кадра.","Как сделать так, чтобы коты не мешали учёбе.",0,2,0
2024-04-02 18:45:00,Продвинутые техники программирования,Детальный разбор объектно-ориентированного программирования.,Нет.,Ввести дополнительные Q&A сессии после вебинара.,Принципы SOLID в программировании.,1,1,1
2024-04-03 12:00:00,Продвинутые техники программирования,Разбор использования шаблонов проектирования в Java был очень подробным и полезным.,"Да, тема абстрактных фабрик была сложной для понимания.",Организовать вебинары с более подробными примерами реализации каждого шаблона.,Применение шаблонов проектирования в реальных проектах.,1,1,1
2024-04-03 15:00:00,Продвинутые техники программирования,"Изучение сложных структур данных в Python, таких как деревья и графы, было особенно интересным.","Да, работа с графами и их алгоритмами.",Устроить отдельные вебинары по каждому типу структуры данных с подробными примерами.,Глубокое изучение алгоритмов поиска пути и оптимизации.,1,1,1
2024-04-03 16:45:00,Продвинутые техники программирования,Обширное покрытие темы REST API и как они интегрируются с современными веб-приложениями было очень полезно.,"Да, концепции OAuth 2.0 были сложными для понимания.",Больше интерактивных примеров и пошаговых руководств по реализации API.,Подробности реализации микросервисов на Spring Boot и Docker.,1,1,1
2024-04-04 10:30:00,Продвинутые техники программирования,Глубина разбора модульного тестирования и TDD была полезной для понимания процессов разработки.,"Да, использование моков и стабов в тестах.",Предоставить дополнительные ресурсы для изучения инструментов мокирования.,Интеграционное тестирование и CI/CD пайплайны.,1,1,1
2024-04-04 15:00:00,Основы программирования,Ясное и чёткое объяснение базовых структур данных.,Нет.,Включить больше реальных примеров использования данных структур.,Принципы проектирования алгоритмов.,1,0,1
2024-04-04 16:00:00,Продвинутые техники программирования,"На вебинаре раздали виртуальные печеньки, очень мило.","Нет, я был слишком занят едой.",В следующий раз добавить виртуальный чай.,Как запекать печенья.,0,1,0
2024-04-04 16:30:00,Продвинутые техники программирования,Подробный разбор применения шаблонов проектирования в реальных проектах был очень познавательным.,Сложности с пониманием абстрактной фабрики.,Больше практических примеров для каждого шаблона проектирования.,Применение шаблонов проектирования в микросервисах.,1,1,1
2024-04-05 14:00:00,Новейшие тенденции в IT,Дискуссия о будущем облачных вычислений и их влиянии на ИТ-индустрию была очень проницательной.,Нет.,"Включить больше кейс-стади от компаний, успешно интегрировавших облачные решения.",Стратегии миграции предприятий в облако.,1,2,1
2024-04-05 15:30:00,Новейшие тенденции в IT,Обсуждение актуальных IT-трендов 2024 года.,"Да, тема искусственного интеллекта требует более глубокого погружения.",Больше времени на сложные темы.,Глубокое изучение нейронных сетей.,1,2,1
2024-04-05 16:30:00,Новейшие тенденции в IT,Обсуждение тенденций в разработке мобильных приложений и их влияние на рынок было весьма познавательным.,Нет.,Включить больше примеров успешных мобильных приложений и их стратегий монетизации.,Разработка кроссплатформенных мобильных приложений.,1,2,1
2024-04-05 18:30:00,Новейшие тенденции в IT,Обзор последних достижений в области квантовых вычислений был впечатляющим.,"Да, сложность темы требует более глубокого погружения.",Организовать серию вебинаров по квантовым технологиям с участием экспертов.,Квантовая криптография и её практическое применение.,1,2,1
2024-04-06 12:00:00,Новейшие тенденции в IT,Вебинар о технологиях блокчейна и их влиянии на финансовую отрасль был глубоко информативным.,"Да, концепции смарт-контрактов были сложными для понимания.","Ввести вебинар, полностью посвященный смарт-контрактам, с практическими примерами.",Разработка и тестирование смарт-контрактов на разных платформах.,1,2,1
2024-04-06 12:15:00,Новейшие тенденции в IT,Обсуждение влияния облачных технологий на современные IT-структуры было особенно актуальным.,"Да, различия между IaaS, PaaS, и SaaS.",Устроить подробный вебинар о каждой облачной модели в отдельности.,Безопасность данных в облаке и лучшие практики.,1,2,1
2024-04-06 14:09:39,ChatGPT для обучения,"как правильно пользоваться GPT чатом, для получения более развернутого ответа",не было,пока нет предложений,затрудняюсь ответить,0,0,0
2024-04-06 14:09:57,Управление персоналом,Все понравилось,"Календарь составили так, что совместилось два обучения в одно и тоже время, что не совсем удобно",Все хорошо,Создания чата со студентами,1,1,0
2024-04-06 14:10:07,ChatGPT для обучения,Gpt чат,Информация предоставлена в доступном виде,Все хорошо,Другие виды ИИ,1,0,1
2024-04-06 14:10:24,ChatGPT для обучения,"Промт-Инжиниринг, это уже даёт какое-то понимание правильной формулировки вопросов для ИИ.",Нет,"Не увидел минусов в вебинаре, очень понравился.",Промт-Инжиниринг,1,0,1
2024-04-06 14:13:26,ChatGPT для обучения,"новая информация, полезно",нет не было таких моментов,мне все понравилось,пока затрудняюсь ответить,1,0,0
2024-04-06 14:15:20,ChatGPT для обучения,Светлые и темные стороны ChatGPT,Не знание определений,Все идеально,темы по дизайну интерьера,1,0,1
2024-04-06 18:00:00,Новейшие тенденции в IT,"Обсуждение было настолько скучным, что я научился жонглировать во время вебинара.","Да, пытался понять жонглирование тремя шарами.","Возможно, включить более динамичную музыку во время обсуждений.",Жонглирование для начинающих.,0,0,0
2024-04-07 11:00:00,Продвинутые техники программирования,Глубокий анализ шаблонов проектирования на конкретных примерах.,Сложно было понять шаблон Singleton.,Подробнее разбирать каждый шаблон на примерах.,Тестирование ПО и фреймворки для автоматизации.,1,1,1
2024-04-07 16:00:00,Основы программирования,Объяснение циклов и массивов в JavaScript было очень доступным и понятным.,Нет.,Добавить видео с разбором сложных примеров кода после вебинара.,Подробнее о Node.js и серверном JavaScript.,1,0,1
2024-04-07 20:00:00,Основы программирования,Примеры кода были очень полезными для понимания.,Нет.,Предоставить дополнительные ресурсы для углубленного изучения.,Базы данных и SQL.,1,0,1
2024-04-08 11:30:00,Основы программирования,Занятие по основам HTML и CSS было чрезвычайно полезным для понимания структуры веб-страниц.,Нет.,"Предложить курс по продвинутым техникам CSS, включая Flexbox и Grid.",Погружение в JavaScript для интерактивности веб-страниц.,1,0,1
2024-04-08 14:00:00,Основы программирования,Подробный разбор циклов и условных операторов в JavaScript помог укрепить мои знания.,Нет.,Ввести более сложные задачи для практики после вебинара.,Асинхронное программирование в JavaScript и его применение в реальных проектах.,1,0,1
2024-04-08 14:00:00,Основы программирования,"Отличное объяснение переменных, типов данных и структур в Python.",Нет.,Предложить дополнительные учебные материалы для глубокого изучения каждой темы.,Глубокое изучение функционального программирования.,1,0,1
2024-04-08 14:30:00,Основы программирования,"Дискуссия о том, как писать код одной рукой, была неожиданно увлекательной.","Нет, это было странно интересно.","Может быть, курс по печати ногами для разнообразия?",Как писать код левой пяткой.,0,0,0
2024-04-08 14:45:00,Основы программирования,"Отличное введение в основы SQL, особенно работа с JOIN-операциями.","Да, сложности с пониманием внешних и внутренних соединений.",Предложить более подробные учебные ресурсы и примеры запросов для практики.,Оптимизация запросов SQL и анализ производительности баз данных.,1,0,1
2024-04-09 17:30:00,Продвинутые техники программирования,Сессия по оптимизации производительности веб-приложений дала мне новые инструменты для работы.,"Да, концепты кэширования данных были сложными.",Углубить тему кэширования и состояния сессии в отдельном вебинаре.,Работа с большими данными и их хранение.,1,1,1
2024-04-09 19:00:00,Продвинутые техники программирования,"Затронута тема безопасности приложений, что крайне важно.",Сложности с пониманием криптографических методов.,Добавить примеры на кейсах из жизни.,Кибербезопасность.,1,1,1
2024-04-10 16:00:00,Основы программирования,"Отличное объяснение темы циклов и условий, всё стало на свои места.","Да, сложно было понять тему рекурсии.",Хотелось бы больше практических заданий по каждой теме.,Глубже изучить тему работы с базами данных.,1,0,1
2024-04-10 16:00:00,Продвинутые техники программирования,"Разбор примеров рефакторинга кода был очень практичным и полезным для понимания, как улучшить существующий код.",Некоторые сложные примеры рефакторинга.,Углубить материал с дополнительными кейс-стади из реальных проектов.,Методы оптимизации производительности приложений.,1,1,1
2024-04-10 17:00:00,Продвинутые техники программирования,"Очень ценно было изучить интеграцию API в большие системы, использование RESTful и GraphQL.","Да, работа с GraphQL была сложнее, чем ожидалось.","Провести серию практических вебинаров, специально посвященных GraphQL.","Безопасность API, управление доступом и ограничения скорости запросов.",1,1,1
2024-04-10 17:30:00,Новейшие тенденции в IT,Интересное обсуждение применения искусственного интеллекта в нетехнических отраслях.,"Да, были трудности с пониманием нейросетей.",Уделить больше времени основам нейросетей перед их применением.,Машинное обучение и его применение в реальных условиях.,1,2,1
2024-04-10 18:20:00,Продвинутые техники программирования,Глубокое погружение в архитектуру REST и SOAP интерфейсов было крайне полезным для моих проектов.,Нет.,Организовать практические лаборатории по созданию и тестированию API.,Безопасность API и использование OAuth 2.0.,1,1,1
2024-04-10 19:00:00,Продвинутые техники программирования,Глубокий анализ принципов SOLID и их применение в объектно-ориентированном проектировании был великолепен.,"Да, примеры на C# были запутанными.",Организовать дополнительные сессии по практическому применению SOLID в различных языках программирования.,Глубокое изучение паттернов проектирования и рефакторинга существующего кода.,1,1,1
2024-04-10 19:45:00,Продвинутые техники программирования,"Презентация была настолько монотонной, что я научился рисовать слонов.","Да, как правильно рисовать уши слона.","Пожалуй, стоит добавить курс по рисованию к вебинарам, чтобы сохранить внимание слушателей.",Рисование слонов в Photoshop.,0,1,0
